county,species
Adams,15
Ashland,3
Barron,8
Bayfield,6
Brown,2
Buffalo,5
Burnett,6
Calumet,2
Chippewa,3
Clark,1
Columbia,16
Crawford,9
Dane,40
Dodge,20
Door,3
Douglas,4
Dunn,7
Eau Claire,5
Florence,4
Fond du Lac,8
Forest,0
Grant,30
Green,11
Green Lake,5
Iowa,22
Iron,1
Jackson,19
Jefferson,9
Juneau,10
Kenosha,12
Kewaunee,0
La Crosse,12
Lafayette,6
Langlade,3
Lincoln,1
Manitowoc,4
Marathon,7
Marinette,6
Marquette,16
Menominee,2
Milwaukee,15
Monroe,13
Oconto,7
Oneida,3
Outagamie,0
Ozaukee,17
Pepin,2
Pierce,8
Polk,7
Portage,5
Price,0
Racine,5
Richland,9
Rock,9
Rusk,2
Sauk,26
Sawyer,3
Sheboygan,6
Shawano,7
St Croix,2
Taylor,1
Trempealeau,10
Vernon,8
Vilas,2
Walworth,8
Washburn,2
Washington,3
Waukesha,16
Waupaca,6
Waushara,7
Winnebago,9
Wood,21
